text,category
My employer has not paid my salary for 3 months,labour
The company is refusing to give me my pending wages,labour
I was fired without notice period and they are not paying dues,labour
My boss terminated me and is withholding my last month salary,labour
I resigned but employer is not releasing my full and final settlement,labour
Company deducted PF from salary but never deposited it,labour
My employer is not giving me gratuity after 5 years of service,labour
I am being harassed at workplace by my manager,labour
Company did not pay overtime wages as per law,labour
My employment contract was terminated without valid reason,labour
I received a phishing link and lost money from my bank account,cyber
Someone hacked my UPI and stole 45000 rupees,cyber
I got a call saying I won a lottery and they asked for OTP,cyber
My Instagram account was hacked and someone is posting from it,cyber
Online fraudster pretended to be bank employee and took my card details,cyber
I received fake job offer and paid registration fee which was fraud,cyber
Someone is blackmailing me with my private photos on WhatsApp,cyber
My email account was hacked and used to send spam,cyber
Received fake courier SMS and clicked link that stole my banking info,cyber
Online shopping fraud - paid but never received product and seller disappeared,cyber
I bought a mobile phone which stopped working after 2 days and shop refuses refund,consumer
Amazon is not accepting my return request for a defective product,consumer
Hospital charged me extra and refused to give itemized bill,consumer
Insurance company rejected my valid claim without reason,consumer
Restaurant served me stale food and I got food poisoning,consumer
Builder took full payment but did not give possession of flat for 3 years,consumer
Car showroom sold me a vehicle with manufacturing defect and refuses to replace,consumer
Gym membership - they closed without notice and are not refunding fees,consumer
Credit card company charged hidden fees not mentioned in agreement,consumer
Online course platform closed and not refunding course fee,consumer
My landlord is refusing to return my 2 lakh security deposit after I vacated,property
Builder is not giving possession of my flat despite full payment 4 years ago,property
Neighbour is encroaching on my land and building a wall on my property,property
Landlord changed locks while my belongings were still inside,property
Co-owner of property is refusing to let me access my own land,property
Property dealer took advance and is now not completing the registration,property
My landlord is forcefully trying to evict me before lease agreement ends,property
Tenant is not paying rent for 6 months and refusing to vacate,property
Society is illegally charging extra maintenance without approval,property
I paid for a plot but the seller sold it to another person as well,property
My husband is not paying maintenance after our separation,family
I want to file for divorce due to cruelty and domestic violence,family
My wife has taken the children and is not allowing me to meet them,family
In-laws are harassing me for dowry and my husband supports them,family
I want to adopt a child - what is the legal process,family
My parents are threatening to disown me for my marriage choice,family
Husband has a second wife which is illegal as we are still married,family
Child custody dispute after mutual consent divorce,family
My father-in-law is claiming share in my husband property which he has no right to,family
Husband abandoned me 2 years ago and now wants divorce,family
Someone punched me on the street and ran away,criminal
My mobile phone was snatched by two people on a bike,criminal
I was threatened by my neighbour with a weapon,criminal
Someone is stalking me and sending threatening messages,criminal
My car was damaged by unknown persons in the parking lot,criminal
I was cheated by a business partner who took my money and fled,criminal
Someone is spreading false rumors about me to damage my reputation,criminal
My employee stole cash from the office,criminal
I received death threats from an unknown caller,criminal
I was assaulted by a group of people during a dispute,criminal
My business partner is not returning my investment of 5 lakhs,civil
Someone took a loan from me and is refusing to repay despite reminders,civil
My contractor took advance payment and abandoned the construction work,civil
Cheque given to me by someone bounced and they are not paying,civil
I lent my friend 2 lakhs and now he is avoiding me,civil
My business partner took all profits and is not giving me my share,civil
Service provider took payment but did not deliver agreed service,civil
My former employer owes me notice pay and is refusing to settle,civil
Vendor supplied defective goods and refuses to compensate,civil
Someone forged my signature on documents to transfer my property,civil
